Category;TrainingName;TrainingDescription;BEFI20 - Accountant;BEFI30 - Payables Administrator;BEFI40 - Receivables Administrator;BEFI70 - FAM Accountant;BEFL10 - Fleet Engineer;BEFL20 - Fleet Analyst;BEIT10 - ERP Application Manager Lite;BEPR10 - Project Administrator;BEPR20 - Contract Manager;BEPR30 - Department Responsible Engineer;BEPR40 - Department Backoffice Clerk;BEPU10 - Buyer;BEPU30 - Employee;BEPU40 -Purchase Administrator;BEQM10 - Quality Inspector;BEWH10 - Receiving Clerk;BEWH20 - Shipping Clerk;BKFI20 - Financial Controller;BKFI40 - Period End Manager;BKFI50 - Super Period End Manager;BKFL10 - Fleet Manager;BKIT10 - ERP Application Manager;BKMD10 - Master Data - Business Partners;BKMD20 - Master Data - Items;BKMD30 - Master Data - Projects;BKMD40 - Master Data - Employees;BKMD41 - Master Data - Employees - People  (Timeway);BKPR10 - Project Manager;BKPR20 - Project Controller;BKPR30 - Fleet Controller;BKPR40 - Department Controller;BKPR50 - Department Manager;BKPU10 - Purchase Manager;BKWH10 - Warehouse Manager;BSPR90 - Auditor - READ-ONLY;BSPR99 - Special User - All Business Roles;EUWH10 - Receiving Clerk;PO Approver Only
BASIC INFOR LN ;Infor LN Look & Feel Level 1 and 2;New users will be introduced to the basic personalization and navigation settings of Infor LN.;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
BASWARE;AP Invoice review Basware - Buyer;This training is not available yet;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;x;;;x;
BASWARE;AP Invoice registration ;This training is not available yet;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASWARE;AP Invoice review Basware - Controller;This training is not available yet;x;;x;x;;;;;;;;;;;;;;x;x;x;;;;;;;;;x;x;x;;;;;x;;
COMMERCIAL PROJECTS;Project Setup;Boskalis controllers, outlining procedures for requesting new commercial contracts/projects, understanding the contract/project setup process, and updating project details in Infor LN. ;;x;x;;x;x;x;x;x;;x;;;;;;;x;x;x;;x;;;x;;;x;x;x;x;x;;;x;x;;
EXPENSES;QRC - Expense claims;How to claim expenses in Infor XM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPENSES;Backoffice- Expense claims;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FINANCIAL INFOR LN;Account Matching;How to clear your balance sheet accounts for offsetting transactions.;x;;;x;;;x;;;;;;;;;;;x;x;x;;x;;;;;;;;;;;;;;x;;
FINANCIAL INFOR LN;ACP Monitoring;How to view and extract the necessary information from Infor LN to view outstanding invoices of suppliers, unapproved purchase invoices, ageing and payment details.;x;x;;x;;;x;;;;;;;;;;;x;x;x;;x;;;;;;;;;;;;;x;x;;
FINANCIAL INFOR LN;ACR Monitoring;This training is not available yet. How to view and extract the necessary information from Infor LN to view outstanding invoices of clients, ageing and receipt details.;x;;x;x;;;x;;;;;;;;;;;x;x;x;;x;;;;;;;;;;;;;x;x;;
FINANCIAL INFOR LN;Automatic Payments;Payment batches can be generated in Infor LN to create an XML Bank Payment File which can be uploaded in banking software. At Boskalis the payment file processing will go through the Payment Hub.;x;x;;x;;;x;;;;;;;;;;;x;x;x;;x;;;;;;;;;;;;;;x;;
FINANCIAL INFOR LN;Bank Statement Processing;How to process bank statements in Infor LN - including skill tests to help users gain hands-on experience.;x;;;x;;;x;;;;;;;;;;;x;x;x;;x;;;;;;;;;;;;;;x;;
FINANCIAL INFOR LN;Financial Reporting;Financial reporting is the detailed review of a company's financial data over a specific period, usually a month, a quarter, or a year. The aim is to inform decision-makers so they can improve business performance and results.;x;;;x;;;x;;;;;;;;;;;x;x;x;;x;;;;;;;;;;;;;x;x;;
